symbol,name,exchange,yf_symbol
ALPINEHOU,Alpine Housing Development Corporat,BSE,ALPINEHOU.BO
ALPL30IETF,ICICI Prudential Mutual Fund,BSE,ALPL30IETF.BO
ALSL,Alacrity Securities Limited,BSE,ALSL.BO
ALSTONE,Alstone Textiles (India) Limited,BSE,ALSTONE.BO
ALUFLUOR,Alufluoride  Ltd.,BSE,ALUFLUOR.BO
AMAGI,Amagi Media Labs Limited,NSE+BSE,AMAGI.NS
AMAL,Amal Ltd,BSE,AMAL.BO
AMALGAM,Amalgamated Electricity Co. Ltd.,BSE,AMALGAM.BO
AMANAYA,AMANAYA VENTURES LIMITED,BSE,AMANAYA.BO
AMANTA,Amanta Healthcare Limited,NSE+BSE,AMANTA.NS
AMARJOTHI,Amarjothi Spinning Mills Ltd,BSE,AMARJOTHI.BO
AMARNATH,SRI AMARNATH FINANCE LIMITED,BSE,AMARNATH.BO
AMARSEC,Amarnath Securities Ltd.,BSE,AMARSEC.BO
AMBALALSA,Ambalal Sarabhai Enterprises Limited,NSE+BSE,AMBALALSA.NS
AMBARPIL,Ambar Protein Industries Limited,BSE,AMBARPIL.BO
AMBER,Amber Enterprises India Limited,NSE+BSE,AMBER.NS
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE+BSE,AMBICAAGAR.NS
AMBIKCO,Ambika Cotton Mills Limited,NSE+BSE,AMBIKCO.NS
AMBIT,Ambitious Plastomac Ltd.,BSE,AMBIT.BO
AMBOAGRI,AMBO AGRITEC LIMITED,BSE,AMBOAGRI.BO
AMBUJACEM,Ambuja Cements Limited,NSE+BSE,AMBUJACEM.NS
AMCOIND,Amco India Ltd.,BSE,AMCOIND.BO
AMDIND,AMD Industries Limited,NSE+BSE,AMDIND.NS
AMEENJI,AMEENJI RUBBER LIMITED,BSE,AMEENJI.BO
AMERISE,AMERISE BIOSCIENCES LIMITED,BSE,AMERISE.BO
AMFORG,Amforge Industries Ltd.,BSE,AMFORG.BO
AMIC,Amic Forging Limited,BSE,AMIC.BO
AMINTAN,AMIN TANNERY LIMITED,BSE,AMINTAN.BO
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,NSE+BSE,AMIRCHAND.NS
AMITSEC,Amit Securities Ltd.,BSE,AMITSEC.BO
AMJLAND,Amj Land Holdings Limited,NSE+BSE,AMJLAND.NS
AMKAY,Amkay Products Limited,BSE,AMKAY.BO
AMNPLST,Amines & Plasticizers Limited,NSE+BSE,AMNPLST.NS
AMPVOLTS,AMPVOLTS LIMITED,BSE,AMPVOLTS.BO
